Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1000b\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1000c\,178,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1000e\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1000e\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1001\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1001c\,0,File Reading Error
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1001c\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1001c\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1001e\,135,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1002c\,136,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1002e\,106,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1006b\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1006b\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1008\,151,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1008d\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1008e\,238,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1008f\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1009\,215,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1009b\,127,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100a6\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100a7\,170,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100a8\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100aa\,138,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b\,270,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b0\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b1\,162,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b2\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b3\,300,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100b9\,183,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c0\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c0\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c2\,128,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c4\,138,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c5\,198,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c6\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c8\,170,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100c9\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100ca\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d2\,191,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d3\,126,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d5\,280,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d7\,121,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d8\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100d9\,133,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100da\,213,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100dc\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100e6\,148,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100e7\,256,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100e8\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100ec\,230,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100ee\,165,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f\,0,File Reading Error
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f1\,155,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f4\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100f5\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\100fd\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101\,100,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1010\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1010d\,142,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1010f\,420,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1011\,140,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1011d\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1011e\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1011e\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1011f\,215,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1012a\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013a\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013a\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013c\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013c\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013d\,900,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013e\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1013e\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014a\,216,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014b\,216,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014c\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014d\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1015\,136,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1017d\,89,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1018f\,102,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1019d\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a0\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a1\,173,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a2\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a2\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b0\,84,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b1\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b2\,78,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b3\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b4\,81,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b5\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b8\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101ba\,260,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bb\,145,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bc\,172,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bd\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bd\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bf\,96,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101c\,95,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101c6\,225,In Range
